user_id,song_index,spotify_id,Arousal,Valence,GEMS_Wonder,GEMS_Transcendence,GEMS_Tenderness,GEMS_Nostalgia,GEMS_Peacefulness,GEMS_Power,GEMS_Joyful Activation,GEMS_Tension,GEMS_Sadness
3,17,1aWV3uY3SIEZVbmv45oFWS,0.6,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
3,18,6SDJcDg0BzVOuUGT0WEYKP,0.65,0.7,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0
3,19,3Hx5E6ObUjkNBLQM0x37cA,0.25,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
4,0,1fu5IQSRgPxJL2OTP7FVLW,0.41,0.6,0.5,0.5,0.5,0.75,0.75,0.0,0.0,0.5,0.75
4,1,5CQ30WqJwcep0pYcV4AMNc,0.4,0.45,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.25,0.75
4,2,1JQ6Xm1JrvHfvAqhl5pwaA,0.66,0.62,0.0,0.0,0.25,0.0,0.0,0.25,0.75,0.0,0.0
4,3,42CX3VhPsCG75BFp07r9Vj,0.76,0.68,0.75,0.0,0.5,0.75,0.75,0.0,0.0,0.0,0.5
4,4,4lsEHglVsLzILTDQ3CNESV,0.67,0.42,0.25,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0
4,5,0gJvqi9QyASOCtJu99tytc,0.74,0.69,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,1.0
4,6,07ceEXOyS7ghQkyCOycXwP,0.81,0.71,0.5,0.0,0.0,0.0,0.0,1.0,0.75,0.5,0.0
4,7,6n6OQfBpCgzF9oEg8zhBN7,0.73,0.63,0.0,0.0,0.75,0.0,0.5,0.0,0.75,0.0,0.0
4,8,2rbDhOo9Fh61Bbu23T2qCk,0.33,0.41,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.5,0.75
4,9,3Lk7RWStfLaHG7lXsuS87j,0.77,0.64,0.0,0.25,0.25,0.0,0.0,0.75,0.5,0.0,0.0
4,10,4EWCNWgDS8707fNSZ1oaA5,0.89,0.69,0.75,0.0,0.5,0.75,0.25,0.75,0.75,0.0,0.0
4,11,7FwBtcecmlpc1sLySPXeGE,0.81,0.63,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0
4,12,5EOoMWIB9iK4ZpcSex9Ec7,0.81,0.64,0.75,0.0,0.0,0.25,0.0,0.75,0.5,0.0,0.0
4,13,4mcZYzoGwPRDdhWVlygiHf,0.75,0.58,0.25,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0
4,14,1OppEieGNdItZbE14gLBEv,0.77,0.6,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0
4,15,17PXXzOygMyXXUNLngVN5u,0.37,0.26,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75
4,16,4Xl2PrS3DJqqSKXCo6Uhv9,0.72,0.62,0.5,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75
4,17,1aWV3uY3SIEZVbmv45oFWS,0.85,0.81,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0
